ausencias_ultimos_30d,patron_whatsapp,hora_peticion_minutos,dia_semana,clima,distancia_km,se_ausento
6,normal,158,domingo,soleado,27.473880897360687,1
3,normal,958,lunes,soleado,17.40495699208917,1
12,normal,311,miércoles,nublado,6.297499142950376,1
14,rapido,1264,martes,lluvioso,5.048367153434203,1
10,lento,444,jueves,soleado,17.717700689174862,1
7,normal,297,viernes,tormenta,23.094624744010872,1
12,normal,951,sábado,soleado,23.66366378452328,1
4,normal,35,viernes,tormenta,8.996964728797156,1
6,normal,1107,miércoles,tormenta,6.923156008452857,1
9,normal,1408,sábado,nublado,1.48593283027909,1
2,rapido,1195,jueves,nublado,20.696775384833913,1
6,normal,1399,lunes,nublado,3.2204794945726305,0
10,rapido,1385,viernes,nublado,13.202074851211847,1
10,rapido,558,miércoles,soleado,18.448782756530587,1
7,normal,890,jueves,soleado,28.176159402670635,0
4,lento,140,domingo,soleado,10.042261971717291,0
3,lento,886,domingo,nublado,8.243392710949074,1
7,normal,1141,jueves,soleado,19.970644474296854,1
7,normal,1300,jueves,nublado,18.95793192955387,1
2,lento,725,jueves,tormenta,10.631183715935613,1
5,lento,1243,sábado,soleado,27.91495322978381,1
4,rapido,1049,jueves,nublado,25.50100749719935,0
1,rapido,520,viernes,nublado,7.495493830087353,0
7,lento,9,miércoles,lluvioso,7.935133817601172,1
11,rapido,983,sábado,tormenta,15.856710059725337,1
13,lento,377,jueves,lluvioso,23.43359095019089,1
5,lento,681,martes,tormenta,2.2771710022654674,1
1,lento,583,martes,soleado,21.106719458306493,1
11,normal,151,miércoles,lluvioso,19.79884102408081,1
4,lento,719,domingo,lluvioso,7.712922781476659,1
0,lento,1072,lunes,soleado,20.759237383999114,1
11,normal,1177,lunes,tormenta,28.265312546310394,1
9,rapido,858,domingo,soleado,2.356789504181287,0
5,normal,1316,sábado,nublado,10.269909603469813,1
12,lento,49,sábado,soleado,13.707124783324304,1
11,lento,663,sábado,nublado,27.078550408816,1
8,lento,530,lunes,lluvioso,28.905581951665543,1
0,normal,1083,martes,nublado,13.879342148393636,0
10,rapido,1190,lunes,nublado,22.750823952123543,1
10,lento,1225,viernes,soleado,16.418169689170007,1
14,normal,856,jueves,lluvioso,16.595705107499917,1
9,normal,145,sábado,soleado,9.064885936924338,1
11,lento,914,martes,nublado,7.291731130052506,1
11,normal,992,miércoles,tormenta,9.352155031797194,1
14,normal,241,miércoles,lluvioso,17.1335122104553,1
13,lento,580,jueves,nublado,1.845500394640581,1
13,normal,686,martes,lluvioso,27.310219386335767,1
14,lento,482,lunes,lluvioso,5.5322275769435105,1
13,normal,1131,lunes,lluvioso,7.38257162927021,1
2,lento,1249,viernes,nublado,16.030009116981745,1
11,normal,672,viernes,soleado,21.5933282237811,1
6,lento,630,lunes,soleado,3.776142587587522,0
3,normal,660,miércoles,soleado,10.213146228867704,0
8,lento,661,sábado,nublado,29.091563561656358,1
2,normal,804,miércoles,soleado,8.607946036647427,0
4,rapido,418,viernes,nublado,10.07845420683126,0
2,lento,987,jueves,soleado,25.25845622792297,1
6,rapido,1183,lunes,soleado,2.4562185190232024,0
4,lento,649,viernes,lluvioso,14.473781895460155,1
8,normal,968,viernes,nublado,12.008886169098437,1
6,rapido,589,sábado,soleado,10.181016037350883,0
1,normal,1100,lunes,lluvioso,9.285288227298171,1
3,normal,508,sábado,soleado,3.649849040951867,0
8,normal,440,lunes,lluvioso,10.129949051197816,1
11,lento,1277,sábado,lluvioso,2.2485196787543886,1
13,lento,920,miércoles,soleado,23.647952045688623,1
1,normal,769,jueves,lluvioso,12.548606024782337,1
9,rapido,1343,jueves,nublado,13.873211137277437,1
8,normal,262,lunes,nublado,26.914243007053816,1
9,normal,1397,martes,soleado,20.0835945319754,1
4,normal,636,domingo,soleado,1.2337139969214739,0
1,normal,1190,viernes,tormenta,28.352069865877265,1
3,normal,458,viernes,soleado,7.877189513353625,0
11,lento,998,lunes,nublado,4.1208113580359065,1
14,lento,1303,sábado,nublado,23.275717173045585,1
11,normal,699,martes,nublado,15.513842160134827,1
6,normal,301,miércoles,soleado,13.57934641452251,1
11,normal,1241,sábado,soleado,8.235589310799512,1
12,rapido,1125,sábado,lluvioso,16.87667320600724,1
7,normal,553,lunes,soleado,8.957153550875036,0
14,lento,287,lunes,soleado,27.14590715332496,1
2,rapido,1190,viernes,soleado,7.240929912262591,0
13,lento,620,lunes,nublado,26.64629936321685,1
0,rapido,1005,lunes,lluvioso,17.222757346093353,1
3,normal,35,lunes,soleado,25.02615588296199,1
1,lento,743,viernes,soleado,21.672533879967695,0
7,lento,352,miércoles,soleado,21.20415823166571,1
3,lento,72,miércoles,lluvioso,10.406028423156616,1
1,normal,647,domingo,nublado,7.783011012693901,0
13,normal,1376,domingo,nublado,7.115700602742856,1
5,normal,1093,lunes,lluvioso,25.85855805472807,1
5,lento,424,domingo,nublado,24.79237778751158,1
9,rapido,998,viernes,lluvioso,13.776632312356913,1
3,lento,707,miércoles,lluvioso,4.839733791397183,1
5,normal,560,sábado,soleado,12.085315307346294,1
12,rapido,827,miércoles,soleado,18.96096016997043,1
14,normal,955,miércoles,soleado,14.177691479918632,1
1,normal,516,viernes,soleado,23.625488786006855,1
9,normal,427,domingo,tormenta,29.931061845290177,1
11,lento,159,sábado,nublado,6.542830565018009,1
1,normal,148,viernes,soleado,14.3298737701276,0
9,lento,775,lunes,lluvioso,13.49853315570384,1
13,rapido,1253,jueves,nublado,9.830283449719573,1
3,normal,66,miércoles,soleado,6.744769984888398,0
13,lento,1013,jueves,soleado,2.9050713782001174,1
14,normal,380,viernes,nublado,26.726460199487253,1
14,normal,57,viernes,lluvioso,13.17561223290321,1
7,normal,1282,viernes,soleado,15.409970036501417,1
13,normal,341,jueves,soleado,27.59131939782656,1
6,lento,1153,viernes,nublado,23.512423847962488,1
11,normal,726,lunes,soleado,4.784536659398342,1
8,lento,1195,viernes,nublado,17.39717906062453,1
13,lento,769,martes,nublado,13.825316019067214,1
7,lento,613,domingo,soleado,24.11912110478412,1
4,lento,1232,jueves,tormenta,22.00274388074653,1
12,lento,353,martes,nublado,21.021765935421087,1
1,normal,115,viernes,soleado,10.87580022891701,0
14,normal,1287,lunes,nublado,24.34394818157838,1
4,rapido,661,miércoles,lluvioso,2.5193475722509753,0
7,lento,452,sábado,lluvioso,5.62912214153285,1
9,normal,286,domingo,soleado,10.73307491635944,1
8,normal,1326,sábado,tormenta,3.227415791009157,1
11,normal,1016,viernes,nublado,7.814834048506056,1
11,rapido,310,domingo,soleado,25.074378506939624,1
11,normal,207,domingo,soleado,28.4992945959123,1
12,normal,617,lunes,soleado,9.833468317451524,1
8,normal,445,domingo,lluvioso,8.670958315676309,1
12,normal,669,jueves,soleado,9.116886915146381,1
14,rapido,632,martes,soleado,9.053853533174472,1
12,normal,54,martes,lluvioso,2.0419752833932168,1
0,rapido,911,martes,soleado,27.880574043602135,0
8,normal,1035,jueves,soleado,7.197246105539524,1
6,rapido,656,sábado,soleado,13.180118148360743,1
8,normal,1423,lunes,soleado,1.2809195994880644,1
7,normal,979,domingo,soleado,25.88069763653666,1
0,lento,514,jueves,nublado,22.203562989192598,1
11,rapido,236,martes,soleado,28.455925020037395,1
7,rapido,1302,viernes,soleado,23.666848896695573,1
7,lento,347,miércoles,lluvioso,10.097488849509892,1
14,rapido,626,domingo,nublado,8.188327403124285,1
10,normal,1127,jueves,nublado,21.233772919045496,1
2,rapido,629,jueves,nublado,11.559270475304483,0
0,normal,1271,lunes,soleado,17.420235456825882,0
7,lento,363,lunes,nublado,1.1814666597676367,1
2,rapido,320,jueves,nublado,2.794685348733782,0
2,lento,285,martes,soleado,16.525670294267883,1
0,lento,148,miércoles,tormenta,17.416077746996788,1
10,normal,1107,domingo,soleado,22.792135389320965,1
4,rapido,405,lunes,lluvioso,4.82699426909489,0
9,normal,977,domingo,soleado,15.882309428946584,1
6,rapido,455,martes,lluvioso,6.638981688518969,1
9,lento,799,domingo,nublado,3.702687467318146,1
8,normal,1184,viernes,lluvioso,12.904378027756083,1
11,lento,1012,lunes,soleado,5.73676279458266,1
6,lento,783,martes,nublado,7.431677367577239,1
8,lento,459,martes,nublado,10.20908281621555,1
7,lento,737,miércoles,lluvioso,8.52226362155269,1
11,normal,508,miércoles,nublado,3.5401476247724455,1
1,lento,480,viernes,nublado,3.6075711009313665,0
0,rapido,113,martes,nublado,6.604233041790877,0
6,normal,748,sábado,soleado,2.4662164508266295,1
6,lento,360,martes,nublado,19.167253570630887,1
13,normal,340,miércoles,soleado,9.332474778758156,1
7,normal,769,sábado,tormenta,9.11263306530306,1
4,lento,760,lunes,lluvioso,10.62795053289519,1
2,lento,968,lunes,tormenta,20.221091952081927,1
11,normal,448,domingo,soleado,26.248382563021224,1
7,lento,834,jueves,lluvioso,23.013521044113514,1
5,normal,1203,miércoles,lluvioso,22.098347676527755,1
10,normal,1430,jueves,nublado,15.047344382424628,1
2,normal,1219,sábado,nublado,21.12036115205494,1
0,normal,310,miércoles,soleado,17.03010867297391,0
2,normal,261,viernes,lluvioso,7.2712653174093385,1
4,lento,405,martes,nublado,7.049062664490471,1
14,lento,142,viernes,soleado,9.59536819938322,1
13,normal,341,sábado,soleado,27.413277458124586,1
2,rapido,1339,miércoles,tormenta,16.875030371012052,1
0,lento,1124,sábado,lluvioso,22.283255933054214,1
4,normal,243,martes,tormenta,11.050204034679881,1
9,rapido,489,lunes,nublado,12.823757349291531,1
6,rapido,11,lunes,soleado,4.64140178048029,0
14,normal,1262,sábado,soleado,5.96755377682844,1
13,normal,560,jueves,soleado,24.99334008995822,1
6,rapido,41,miércoles,soleado,17.96032031897758,0
10,lento,677,miércoles,soleado,10.788441510630749,1
8,normal,593,lunes,soleado,24.282685060870833,1
14,lento,1181,domingo,nublado,8.149077263501507,1
14,rapido,1239,viernes,tormenta,29.30494825940591,1
9,lento,133,domingo,nublado,10.999710624638922,1
9,lento,1090,martes,lluvioso,10.7820176703856,1
11,rapido,1030,viernes,nublado,10.04544526056445,1
12,normal,947,viernes,soleado,4.54123396180435,1
2,normal,72,sábado,soleado,4.22297727262836,0
14,lento,398,lunes,soleado,19.795046001489577,1
6,rapido,1428,domingo,soleado,26.378423292183363,1
0,normal,577,domingo,nublado,23.92509479787853,1
3,lento,858,lunes,soleado,5.092120226619182,0
12,lento,129,domingo,soleado,16.82188153196993,1
3,normal,930,lunes,soleado,4.06215483332256,1
13,lento,1229,sábado,tormenta,2.313544664779246,1
4,rapido,265,jueves,lluvioso,20.03518992215825,0
6,lento,792,viernes,lluvioso,16.519417676730157,1
6,lento,252,sábado,soleado,3.378686871132655,0
12,normal,821,miércoles,lluvioso,2.013238145773665,1
14,lento,1312,martes,lluvioso,29.702935988870703,1
10,normal,163,jueves,nublado,1.8706186323230845,1
12,normal,94,miércoles,tormenta,13.891319338454629,1
3,lento,832,viernes,soleado,15.633951713623173,1
12,normal,1133,domingo,tormenta,4.401124286212906,1
6,normal,335,lunes,tormenta,5.902791574751771,1
10,lento,821,viernes,soleado,11.202345185900223,1
2,normal,237,sábado,nublado,23.088600410196214,1
5,normal,380,martes,tormenta,15.705390297747735,1
11,lento,898,sábado,soleado,19.499154362035885,1
1,lento,482,jueves,nublado,29.570062097629567,1
9,normal,901,jueves,tormenta,23.27215762408308,1
12,rapido,1048,martes,nublado,13.596483446095315,1
13,normal,1140,miércoles,soleado,13.946815732099914,1
8,lento,481,miércoles,nublado,18.944390234189147,1
4,lento,1415,jueves,soleado,20.295591044148225,1
5,rapido,916,jueves,nublado,15.520616849263469,1
11,lento,993,domingo,soleado,19.700975461634417,1
11,lento,963,lunes,nublado,1.6824423380088644,1
11,lento,536,domingo,nublado,13.45906305300848,1
11,normal,1102,domingo,lluvioso,9.089204206130827,1
3,normal,1196,miércoles,nublado,4.746058912050201,0
13,lento,1035,martes,nublado,3.886848871454479,1
13,normal,127,miércoles,nublado,18.492572802825357,1
10,lento,91,lunes,soleado,16.18441586742574,1
9,normal,542,sábado,nublado,8.353939392894706,1
6,lento,845,jueves,soleado,14.65755170440292,1
11,normal,988,jueves,tormenta,15.27473714028984,1
8,normal,446,lunes,soleado,6.655260432719858,1
6,lento,389,domingo,nublado,19.910698794567868,1
13,lento,671,martes,nublado,23.646661335196622,1
0,lento,42,jueves,nublado,23.95244268579605,1
0,normal,253,viernes,soleado,18.471625090400195,0
8,normal,1153,domingo,nublado,15.837518893051408,1
10,lento,1083,jueves,nublado,2.769207147156452,1
13,normal,662,viernes,lluvioso,9.34710766669657,1
8,lento,466,lunes,soleado,3.704871956566927,0
3,lento,286,lunes,nublado,28.950871665475734,1
12,lento,1010,domingo,nublado,4.91732424054706,1
8,lento,777,jueves,nublado,5.401486885681959,1
2,rapido,344,miércoles,nublado,26.797721931584274,1
6,rapido,641,viernes,nublado,28.37392022081728,1
5,normal,381,martes,soleado,23.209042137812386,1
7,normal,689,jueves,soleado,1.1567427865074262,1
10,normal,1276,martes,soleado,1.0390418577403473,1
8,normal,1079,jueves,soleado,11.964922323836072,1
13,lento,456,miércoles,nublado,5.158465730315884,1
4,rapido,982,miércoles,nublado,1.5331981223963211,0
0,normal,82,domingo,soleado,14.457933992730636,0
2,normal,1122,domingo,tormenta,28.348795024802175,1
9,normal,148,miércoles,soleado,10.390767672170512,1
11,lento,1352,sábado,lluvioso,20.1730796744322,1
7,lento,1179,miércoles,nublado,19.91482524084078,1
14,normal,189,lunes,soleado,8.281323006289865,1
10,rapido,882,lunes,soleado,19.862332215892064,0
5,lento,262,sábado,nublado,7.157685254319847,1
7,normal,1103,viernes,soleado,4.538214993729783,0
8,lento,399,martes,tormenta,21.340115281231014,1
3,lento,763,jueves,nublado,4.289783696013585,0
0,normal,608,jueves,tormenta,29.910367339091305,1
13,normal,1283,sábado,soleado,6.32011963335665,1
0,normal,784,lunes,lluvioso,18.230114019937268,1
9,normal,100,domingo,nublado,12.929862570965092,1
3,rapido,1382,jueves,lluvioso,4.665206249764346,0
11,rapido,1403,lunes,soleado,1.8074733197449886,0
13,normal,819,viernes,nublado,19.059236186492164,1
6,normal,1244,martes,nublado,24.395969349884655,1
1,normal,819,viernes,lluvioso,25.418454183695577,1
2,normal,419,sábado,soleado,14.9986907192311,0
