worker_id,dias_laborales,hora_inicio,hora_fin
worker_000,"lunes,sabado,miercoles,martes,domingo",07:00:00,16:00:00
worker_001,"viernes,martes,lunes,domingo,sabado",07:00:00,23:59:00
worker_002,"viernes,martes,domingo,jueves,lunes",09:00:00,18:00:00
worker_003,"domingo,martes,jueves,miercoles,sabado",07:00:00,17:00:00
worker_004,"lunes,domingo,jueves,sabado,martes,miercoles",08:00:00,16:00:00
worker_005,"viernes,lunes,jueves,sabado,miercoles,martes",08:00:00,17:00:00
worker_006,"lunes,sabado,martes,miercoles,domingo",07:00:00,16:00:00
worker_007,"miercoles,jueves,domingo,martes,sabado,viernes",07:00:00,18:00:00
worker_008,"viernes,sabado,martes,domingo,lunes",09:00:00,19:00:00
worker_009,"sabado,domingo,viernes,martes,miercoles,jueves",06:00:00,17:00:00
worker_010,"domingo,miercoles,jueves,sabado,lunes",07:00:00,18:00:00
worker_011,"sabado,jueves,domingo,viernes,lunes",08:00:00,17:00:00
worker_012,"sabado,viernes,domingo,miercoles,jueves",09:00:00,19:00:00
worker_013,"martes,domingo,viernes,jueves,lunes,miercoles",06:00:00,17:00:00
worker_014,"domingo,sabado,jueves,lunes,martes",09:00:00,19:00:00
worker_015,"viernes,lunes,sabado,miercoles,jueves,martes",06:00:00,18:00:00
worker_016,"martes,jueves,lunes,miercoles,sabado,viernes",06:00:00,18:00:00
worker_017,"martes,miercoles,domingo,lunes,sabado",08:00:00,19:00:00
worker_018,"lunes,miercoles,sabado,martes,domingo",07:00:00,16:00:00
worker_019,"sabado,jueves,lunes,martes,viernes",09:00:00,17:00:00
worker_020,"viernes,domingo,jueves,martes,miercoles,lunes",08:00:00,19:00:00
worker_021,"jueves,viernes,domingo,lunes,sabado,miercoles",06:00:00,18:00:00
worker_022,"viernes,domingo,martes,sabado,lunes",06:00:00,16:00:00
worker_023,"lunes,domingo,miercoles,sabado,viernes",07:00:00,18:00:00
worker_024,"martes,viernes,domingo,jueves,lunes,sabado",09:00:00,17:00:00
worker_025,"lunes,sabado,jueves,miercoles,martes",09:00:00,19:00:00
worker_026,"sabado,domingo,lunes,viernes,martes",08:00:00,16:00:00
worker_027,"martes,domingo,viernes,jueves,lunes",09:00:00,17:00:00
worker_028,"jueves,martes,lunes,domingo,miercoles,viernes",06:00:00,16:00:00
worker_029,"domingo,martes,sabado,jueves,viernes",09:00:00,17:00:00
worker_030,"lunes,martes,jueves,domingo,sabado,miercoles",09:00:00,18:00:00
worker_031,"sabado,domingo,viernes,jueves,lunes,miercoles",08:00:00,17:00:00
worker_032,"viernes,sabado,domingo,lunes,miercoles",08:00:00,16:00:00
worker_033,"viernes,jueves,domingo,martes,lunes",06:00:00,17:00:00
worker_034,"viernes,lunes,martes,jueves,sabado",07:00:00,16:00:00
worker_035,"jueves,sabado,viernes,miercoles,martes",07:00:00,18:00:00
worker_036,"miercoles,jueves,martes,domingo,viernes",08:00:00,16:00:00
worker_037,"jueves,viernes,sabado,lunes,domingo",07:00:00,18:00:00
worker_038,"miercoles,lunes,martes,domingo,viernes",07:00:00,19:00:00
worker_039,"viernes,sabado,domingo,lunes,miercoles,martes",06:00:00,17:00:00
worker_040,"lunes,domingo,viernes,martes,jueves,miercoles",07:00:00,18:00:00
worker_041,"sabado,domingo,miercoles,jueves,martes",06:00:00,16:00:00
worker_042,"domingo,miercoles,lunes,viernes,martes,jueves",08:00:00,17:00:00
worker_043,"viernes,sabado,jueves,lunes,domingo,miercoles",07:00:00,16:00:00
